file,line,type,field,ts_type,optional,nullable,runtime_validator_strictness
enums.ts,8,FieldState,<enum>,"'pending'|'auto_confirmed'|'needs_review'|'confirmed'|'corrected'|'escalated'",no,no,z.enum closed
enums.ts,35,NaReason,<enum>,"'NOT_PRESENT'|'NOT_FOUND'|'NOT_STATED'|'PRESENT_UNREADABLE'",no,no,z.enum closed
enums.ts,47,BlindConfidence,<enum>,"'certain'|'probable'|'unclear'",no,no,z.enum closed
enums.ts,51,TypistSeat,<enum>,"'A'|'B'",no,no,z.enum closed
enums.ts,54,RuleStatus,<enum>,"'live'|'pending'|'retired'",no,no,z.enum closed
enums.ts,57,RuleOrigin,<enum>,"'spec'|'escalation'|'reconciliation'|'complaint'|'senior'",no,no,z.enum closed
enums.ts,67,RuleProvenance,<enum>,"'RULED'|'DERIVED'|'OPEN'|'CONFLICT'",no,no,z.enum closed
enums.ts,70,GoldenTag,<enum>,"'delivered_report'|'ruled'|'suspect'|'agreed'",no,no,z.enum closed
enums.ts,73,EngineKind,<enum>,"'vlm_image'|'ocr_text'|'hybrid'",no,no,z.enum closed
enums.ts,80,HowItGotThrough,<enum>,"'auto_confirmed'|'human_confirmed'",no,no,z.enum closed
enums.ts,84,JudgmentStatus,<enum>,"'active'|'satisfied'|'released'|'canceled'|'vacated'|'unknown'",no,no,z.enum closed
enums.ts,98,OrderStatus,<alias>,string,no,no,z.string OPEN (deliberately unconstrained)
enums.ts,107,DeliveryStatus,<enum>,"'draft'|'signed'|'digest_recorded'|'transmitted'|'acknowledged'|'failed_transit'",no,no,z.enum closed
entities.ts,30,LineCoords,page,number,no,no,z.number().int()
entities.ts,31,LineCoords,x,number,no,no,z.number().min(0).max(1)
entities.ts,32,LineCoords,y,number,no,no,z.number().min(0).max(1)
entities.ts,33,LineCoords,w,number,no,no,z.number().min(0).max(1)
entities.ts,34,LineCoords,h,number,no,no,z.number().min(0).max(1)
entities.ts,47,SourceExcerpt,doc_id,string,no,no,z.string()
entities.ts,48,SourceExcerpt,page,number,no,no,z.number().int()
entities.ts,49,SourceExcerpt,pre,string,no,no,z.string()
entities.ts,50,SourceExcerpt,hit,string,no,no,z.string()
entities.ts,51,SourceExcerpt,post,string,no,no,z.string()
entities.ts,52,SourceExcerpt,note,string|null,no,yes,z.string().nullable()
entities.ts,57,Order,id,string,no,no,z.string()
entities.ts,58,Order,client_id,string,no,no,z.string()
entities.ts,59,Order,external_ref,string,no,no,z.string()
entities.ts,60,Order,jurisdiction,string,no,no,z.string()
entities.ts,61,Order,state,string,no,no,z.string()
entities.ts,62,Order,county,string,no,no,z.string()
entities.ts,70,Order,product,string|null,no,yes,z.string().nullable()
entities.ts,71,Order,period_label,string|null,no,yes,z.string().nullable()
entities.ts,72,Order,pages,number|null,no,yes,z.number().int().nullable()
entities.ts,73,Order,status,string,no,no,OrderStatus = z.string() OPEN
entities.ts,74,Order,arrived_at,string,no,no,z.string() (no datetime format check)
entities.ts,75,Order,accepted_at,string|null,no,yes,z.string().nullable()
entities.ts,76,Order,delivered_at,string|null,no,yes,z.string().nullable()
entities.ts,82,FieldReading,id,string,no,no,z.string()
entities.ts,83,FieldReading,field_id,string,no,no,z.string()
entities.ts,84,FieldReading,engine_id,string,no,no,z.string()
entities.ts,85,FieldReading,value,string|null,no,yes,z.string().nullable()
